case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,annealer_seed,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
57,ok,openjij-sqa,75.0,75.0,55.0,45.0,default,32,41,-394.0,-675.0,281.0,True,0,0,7,8,44,5.317333585990127,5.320066186002805
58,ok,openjij-sqa,75.0,75.0,55.0,45.0,default,32,42,-521.0,-675.0,154.0,True,0,0,11,4,42,5.408787971988204,5.411354272000608
59,ok,openjij-sqa,75.0,75.0,55.0,45.0,default,32,43,-485.0,-675.0,190.0,True,0,0,7,8,48,5.493792395005585,5.496374794995063
60,ok,openjij-sqa,75.0,75.0,55.0,45.0,default,32,44,-398.0,-675.0,277.0,False,0,2,7,8,15,5.32686900900444,5.3294314090017
61,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,40,-314.0,-525.0,211.0,True,0,0,11,4,34,5.406425917011802,5.4092922169948
62,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,41,-367.0,-525.0,158.0,True,0,0,11,4,33,5.338447410002118,5.34215970999503
63,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,42,-265.0,-525.0,260.0,True,0,0,6,9,30,5.292496907000896,5.294942706997972
64,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,43,-353.0,-525.0,172.0,True,0,0,6,9,44,5.304294504006975,5.308180603999062
65,ok,openjij-sqa,75.0,75.0,60.0,35.0,default,32,44,-196.0,-525.0,329.0,False,0,2,6,9,68,5.310587704007048,5.3130487040034495
66,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,40,-344.0,-600.0,256.0,True,0,0,6,9,42,5.48882050300017,5.491352602999541
67,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,41,-350.0,-600.0,250.0,False,1,1,7,8,20,7.202827797998907,7.2053231979953125
68,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,42,-600.0,-600.0,0.0,True,0,0,15,0,0,5.482668109005317,5.485738609000691
69,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,43,-452.0,-600.0,148.0,True,0,0,10,5,8,5.346008152002469,5.348648251994746
70,ok,openjij-sqa,75.0,75.0,60.0,40.0,default,32,44,-376.0,-600.0,224.0,True,0,0,11,4,17,5.2726137149875285,5.275726213993039
71,ok,openjij-sqa,75.0,75.0,60.0,45.0,default,32,40,-402.0,-675.0,273.0,True,0,0,8,7,73,5.101764976003324,5.1049508759897435
72,ok,openjij-sqa,75.0,75.0,60.0,45.0,default,32,41,-411.0,-675.0,264.0,False,1,1,8,7,34,5.252390088993707,5.255984289004118
73,ok,openjij-sqa,75.0,75.0,60.0,45.0,default,32,42,-426.0,-675.0,249.0,False,0,2,6,9,19,5.204348900995683,5.206810001007398
74,ok,openjij-sqa,75.0,75.0,60.0,45.0,default,32,43,-375.0,-675.0,300.0,True,0,0,7,8,66,5.289897810987895,5.2937306109961355
75,ok,openjij-sqa,75.0,75.0,60.0,45.0,default,32,44,-411.0,-675.0,264.0,True,0,0,9,6,34,5.382801692001522,5.385516091992031
76,ok,openjij-sqa,75.0,75.0,65.0,35.0,default,32,40,-304.0,-525.0,221.0,True,0,0,12,3,75,5.2108573709992925,5.214985270999023
77,ok,openjij-sqa,75.0,75.0,65.0,35.0,default,32,41,-376.0,-525.0,149.0,True,0,0,11,4,44,5.168730189005146,5.17239278901252
78,ok,openjij-sqa,75.0,75.0,65.0,35.0,default,32,42,-255.0,-525.0,270.0,True,0,0,7,8,48,5.230545095007983,5.233720695003285
79,ok,openjij-sqa,75.0,75.0,65.0,35.0,default,32,43,-255.0,-525.0,270.0,True,0,0,7,8,47,5.165620401996421,5.168503702007001
80,ok,openjij-sqa,75.0,75.0,65.0,35.0,default,32,44,-355.0,-525.0,170.0,True,0,0,9,6,29,5.24311457600561,5.246556276004412
81,ok,openjij-sqa,75.0,75.0,65.0,40.0,default,32,40,-302.0,-600.0,298.0,True,0,0,6,9,58,5.240376037007081,5.243438436998986
82,ok,openjij-sqa,75.0,75.0,65.0,40.0,default,32,41,-418.0,-600.0,182.0,False,0,2,11,4,22,5.411514363004244,5.414097062996007
83,ok,openjij-sqa,75.0,75.0,65.0,40.0,default,32,42,-338.0,-600.0,262.0,False,0,2,5,10,48,5.2284450409933925,5.230957040999783
84,ok,openjij-sqa,75.0,75.0,65.0,40.0,default,32,43,-305.0,-600.0,295.0,False,0,2,8,7,70,5.421288345998619,5.423954845988192
85,ok,openjij-sqa,75.0,75.0,65.0,40.0,default,32,44,-326.0,-600.0,274.0,True,0,0,8,7,9,5.243802337005036,5.247762936996878
86,ok,openjij-sqa,75.0,75.0,65.0,45.0,default,32,40,-321.0,-675.0,354.0,False,1,3,4,11,44,5.254976183001418,5.2575432830053614
87,ok,openjij-sqa,75.0,75.0,65.0,45.0,default,32,41,-439.0,-675.0,236.0,True,0,0,0,15,28,5.2704704880015925,5.273717087999103
88,ok,openjij-sqa,75.0,75.0,65.0,45.0,default,32,42,-439.0,-675.0,236.0,True,0,0,4,11,35,5.159036379001918,5.161730279010953
89,ok,openjij-sqa,75.0,75.0,65.0,45.0,default,32,43,-529.0,-675.0,146.0,True,0,0,10,5,3,5.306574911010102,5.3095394109986955
90,ok,openjij-sqa,75.0,75.0,65.0,45.0,default,32,44,-547.0,-675.0,128.0,True,0,0,12,3,1,5.441708711994579,5.444734011995024
91,ok,openjij-sqa,80.0,80.0,55.0,35.0,default,32,40,-261.0,-525.0,264.0,True,0,0,4,11,58,5.255930571991485,5.258886272000382
92,ok,openjij-sqa,80.0,80.0,55.0,35.0,default,32,41,-337.0,-525.0,188.0,True,0,0,6,9,32,5.261398886999814,5.264179987003445
93,ok,openjij-sqa,80.0,80.0,55.0,35.0,default,32,42,-365.0,-525.0,160.0,True,0,0,6,9,14,5.3338657899876125,5.336403590001282
94,ok,openjij-sqa,80.0,80.0,55.0,35.0,default,32,43,-247.0,-525.0,278.0,True,0,0,5,10,25,5.21952318699914,5.22269628700451
95,ok,openjij-sqa,80.0,80.0,55.0,35.0,default,32,44,-316.0,-525.0,209.0,False,0,2,8,7,12,5.491525587989599,5.4941449879988795
96,ok,openjij-sqa,80.0,80.0,55.0,40.0,default,32,40,-384.0,-600.0,216.0,False,0,2,8,7,61,6.152033192993258,6.1563153930037515
97,ok,openjij-sqa,80.0,80.0,55.0,40.0,default,32,41,-425.0,-600.0,175.0,True,0,0,7,8,25,5.73781640001107,5.740718300003209
98,ok,openjij-sqa,80.0,80.0,55.0,40.0,default,32,42,-409.0,-600.0,191.0,True,0,0,7,8,28,6.177232264002669,6.18179606400372
99,ok,openjij-sqa,80.0,80.0,55.0,40.0,default,32,43,-362.0,-600.0,238.0,True,0,0,8,7,29,5.692346819996601,5.694965319999028
100,ok,openjij-sqa,80.0,80.0,55.0,40.0,default,32,44,-417.0,-600.0,183.0,True,0,0,5,10,22,5.906487788000959,5.91007698798785
