case,status,backend,read_penalty,position_penalty,missing_penalty,reward_scale,beta,trotter,energy,true_energy,energy_gap,valid,read_violations,position_violations,adjacent_correct,wrong_adjacencies,inversions,anneal_sec,total_sec
50,ok,openjij-sqa,200.0,200.0,100.0,20.0,default,16,120.0,-300.0,420.0,True,0,0,2,13,58,2.5135465340008523,2.5160073340011877
51,ok,openjij-sqa,200.0,200.0,100.0,20.0,default,32,-28.0,-300.0,272.0,True,0,0,9,6,66,4.181581062999612,4.184027663000961
52,ok,openjij-sqa,200.0,200.0,100.0,30.0,default,default,5204.0,-450.0,5654.0,False,9,9,6,9,40,1.2151694200001657,1.2176585199995316
53,ok,openjij-sqa,200.0,200.0,100.0,30.0,default,16,12.0,-450.0,462.0,True,0,0,3,12,49,2.4887145409993536,2.4911604410008295
54,ok,openjij-sqa,200.0,200.0,100.0,30.0,default,32,0.0,-450.0,450.0,True,0,0,4,11,79,4.178062156999658,4.180570356998942
55,ok,openjij-sqa,500.0,500.0,30.0,10.0,default,default,12912.0,-150.0,13062.0,False,12,12,0,15,44,1.1800205149993417,1.1825004149995948
56,ok,openjij-sqa,500.0,500.0,30.0,10.0,default,16,192.0,-150.0,342.0,True,0,0,1,14,61,2.4534441300002072,2.4711259300001984
57,ok,openjij-sqa,500.0,500.0,30.0,10.0,default,32,218.0,-150.0,368.0,True,0,0,3,12,75,4.402019998000469,4.4045034980008495
58,ok,openjij-sqa,500.0,500.0,30.0,20.0,default,default,8882.0,-300.0,9182.0,False,8,8,0,15,44,1.2185051350006688,1.2209941350010922
59,ok,openjij-sqa,500.0,500.0,30.0,20.0,default,16,1162.0,-300.0,1462.0,False,1,1,1,14,70,2.4938182719997712,2.497099072999845
60,ok,openjij-sqa,500.0,500.0,30.0,20.0,default,32,124.0,-300.0,424.0,True,0,0,4,11,45,4.952708962000543,4.955211562000841
61,ok,openjij-sqa,500.0,500.0,30.0,30.0,default,default,12020.0,-450.0,12470.0,False,11,11,0,15,50,1.2281875669996225,1.2306322670010559
62,ok,openjij-sqa,500.0,500.0,30.0,30.0,default,16,156.0,-450.0,606.0,True,0,0,1,14,76,2.458565835999252,2.4610449360006896
