case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
68,8,22,120.0,100.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.2407846469996002,1.2409814470011042
69,8,22,120.0,100.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,0.9665331809992495,0.9667202809996525
70,8,22,120.0,100.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1089782630006084,1.1091781630002515
71,8,22,120.0,120.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.151526057999945,1.151714957999502
72,8,22,120.0,120.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0775930669988156,1.07815996699901
73,8,22,120.0,120.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0197681569989072,1.0199776570007089
74,8,22,120.0,120.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0595049530002143,1.0600683529992239
75,8,22,120.0,120.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.0318727439989743,1.0320660440011125
76,8,22,120.0,140.0,20.0,40,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.124706148999394,1.1248935490002623
77,8,22,120.0,140.0,20.0,41,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1152800480012957,1.1161979480002628
78,8,22,120.0,140.0,20.0,42,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1845860499997798,1.1847881499998039
79,8,22,120.0,140.0,20.0,43,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1079900479999196,1.1081898480006203
80,8,22,120.0,140.0,20.0,44,-140.0,-140.0,0.0,True,True,7,0,0,0,7,0,0,1.1195189480004046,1.1204372479987796
81,16,54,60.0,80.0,20.0,40,-300.0,-300.0,0.0,True,True,15,0,0,0,15,0,0,4.234741406000467,4.235365005999483
82,16,54,60.0,80.0,20.0,41,-300.0,-300.0,0.0,True,True,15,0,0,0,15,0,0,2.5806675929998164,2.5811969930000487
83,16,54,60.0,80.0,20.0,42,-300.0,-300.0,0.0,True,True,15,0,0,0,15,0,0,2.308311072998549,2.30966127299871
84,16,54,60.0,80.0,20.0,43,-300.0,-300.0,0.0,True,True,15,0,0,0,15,0,0,2.79131988699919,2.7918426869982795
85,16,54,60.0,80.0,20.0,44,-300.0,-300.0,0.0,True,True,15,0,0,0,15,0,0,3.257872791000409,3.2584220900007494
86,16,54,60.0,100.0,20.0,40,-212.0,-300.0,88.0,False,False,14,1,0,0,12,2,0,2.6083274750017154,2.609897775000718
87,16,54,60.0,100.0,20.0,41,-216.0,-300.0,84.0,False,False,14,1,0,0,13,1,0,5.364911316999496,5.365932316999533
