case,reads_used,qubo_variables,count_penalty,degree_penalty,reward_scale,seed,energy,true_energy,energy_gap,ground_hit,valid_edge_path,selected_edge_count,edge_count_violation,in_degree_violations,out_degree_violations,selected_adjacent_correct,selected_jump_correct,selected_wrong,anneal_sec,total_sec
12,49,315,100.0,140.0,20.0,44,-747.5471698119072,-960.0,212.45283018809278,False,False,47,1,0,0,29,18,0,13.103879705000509,13.114259406000201
13,49,315,120.0,110.0,20.0,42,-802.4528301893733,-960.0,157.54716981062666,False,False,48,0,0,1,40,8,0,13.07194267900013,13.082352179000736
14,49,315,120.0,110.0,20.0,43,-791.8867924534716,-960.0,168.11320754652843,False,False,48,0,1,0,38,10,0,13.05669794500136,13.067526545000874
15,49,315,120.0,110.0,20.0,44,-739.0566037740791,-960.0,220.94339622592088,False,False,48,0,0,1,21,27,0,13.163299531999655,13.190814032001072
16,49,315,120.0,120.0,20.0,42,-763.3962264156435,-960.0,196.60377358435653,False,False,48,0,0,1,32,16,0,13.3996949400007,13.410346939999727
17,49,315,120.0,120.0,20.0,43,-771.3207547175698,-960.0,188.6792452824302,False,False,48,0,1,0,34,14,0,13.245971497000937,13.257165097000325
18,49,315,120.0,120.0,20.0,44,-763.3962264156435,-960.0,196.60377358435653,False,False,48,0,1,0,36,12,0,13.13971823599968,13.150492235999991
19,49,315,120.0,130.0,20.0,42,-790.3773584910668,-960.0,169.62264150893316,False,False,48,0,1,0,37,11,0,13.303453452999747,13.31404755299991
20,49,315,120.0,130.0,20.0,43,-756.0377358496189,-960.0,203.9622641503811,False,False,48,0,1,0,33,15,0,13.290984010998727,13.301173010999264
21,49,315,120.0,130.0,20.0,44,-769.2452830194961,-960.0,190.75471698050387,False,False,48,0,1,0,31,17,0,13.378126392999548,13.389021092998519
22,49,315,120.0,140.0,20.0,42,-780.3773584912997,-960.0,179.62264150870033,False,False,47,1,0,0,38,9,0,13.33852249299889,13.348984092999672
23,49,315,120.0,140.0,20.0,43,-960.0000000006985,-960.0,-6.984919309616089e-10,True,True,48,0,0,0,48,0,0,13.02660680199915,13.037635102000422
24,49,315,120.0,140.0,20.0,44,-764.5283018873306,-960.0,195.4716981126694,False,False,48,0,0,1,35,13,0,13.043666817000485,13.055494117001217
25,49,315,140.0,110.0,20.0,42,-776.0377358496189,-960.0,183.9622641503811,False,False,48,0,0,1,33,15,0,13.133048604999203,13.143884605000494
26,49,315,140.0,110.0,20.0,43,-629.0566037740791,-960.0,330.9433962259209,False,False,48,0,2,0,25,23,0,13.124907893999989,13.13551259400083
27,49,315,140.0,110.0,20.0,44,-765.4716981138336,-960.0,194.52830188616645,False,False,48,0,0,1,33,15,0,13.334524907000741,13.34517320699888
